SoldTo,Customer_Value1
Customer_1380,Niche Player
Customer_1381,Faster Growing than Market
Customer_1382,Market Follower
Customer_1384,Faster Growing than Market
Customer_1384,Innovative
Customer_1384,Innovative & Faster Growing than Market
Customer_1384,Niche Player
Customer_1385,Faster Growing than Market
Customer_1385,Innovative
Customer_1385,Niche Player
Customer_1387,Faster Growing than Market
Customer_1387,Innovative & Faster Growing than Market
Customer_1388,Innovative
Customer_1389,Market Follower
Customer_139,Innovative & Faster Growing than Market
Customer_1390,Faster Growing than Market
Customer_1391,Innovative & Faster Growing than Market
Customer_1393,Faster Growing than Market
Customer_1396,Niche Player
Customer_1398,Niche Player
Customer_1399,Faster Growing than Market
Customer_1399,Market Follower
Customer_14,Innovative
Customer_14,Innovative & Faster Growing than Market
Customer_140,Faster Growing than Market
Customer_1400,Faster Growing than Market
Customer_1402,Faster Growing than Market
Customer_1403,Innovative & Faster Growing than Market
Customer_1404,Innovative
Customer_1406,Innovative & Faster Growing than Market
Customer_1406,Niche Player
Customer_1408,Market Follower
Customer_1409,Innovative
Customer_141,Faster Growing than Market
Customer_1410,Faster Growing than Market
Customer_1410,Innovative & Faster Growing than Market
Customer_1412,Innovative & Faster Growing than Market
Customer_1413,Innovative & Faster Growing than Market
Customer_1415,Faster Growing than Market
Customer_1415,Niche Player
Customer_1416,Faster Growing than Market
Customer_1416,Innovative
Customer_1417,Innovative
Customer_1418,Innovative & Faster Growing than Market
Customer_1421,Faster Growing than Market
Customer_1422,Faster Growing than Market
Customer_1422,Innovative
Customer_1424,Faster Growing than Market
Customer_1424,Innovative
Customer_1425,Innovative
Customer_1426,Innovative & Faster Growing than Market
Customer_1426,Niche Player
Customer_1427,Faster Growing than Market
Customer_1427,Niche Player
Customer_1430,Faster Growing than Market
Customer_1430,Innovative
Customer_1431,Faster Growing than Market
Customer_1435,Innovative
Customer_1436,Market Follower
Customer_1437,Niche Player
Customer_1438,Faster Growing than Market
Customer_1439,Market Follower
Customer_144,Innovative & Faster Growing than Market
Customer_1440,Faster Growing than Market
Customer_1440,Innovative & Faster Growing than Market
Customer_1445,Niche Player
Customer_1446,Faster Growing than Market
Customer_145,Market Follower
Customer_145,Niche Player
Customer_1450,Market Follower
Customer_1451,Innovative & Faster Growing than Market
Customer_1452,Niche Player
Customer_1454,Faster Growing than Market
Customer_1454,Innovative
Customer_1455,Innovative & Faster Growing than Market
Customer_1456,Niche Player
Customer_1458,Innovative & Faster Growing than Market
Customer_1459,Innovative
Customer_1459,Innovative & Faster Growing than Market
Customer_1459,Market Follower
Customer_1460,Innovative & Faster Growing than Market
Customer_1460,Niche Player
Customer_1462,Innovative & Faster Growing than Market
Customer_1462,Niche Player
Customer_1463,Innovative & Faster Growing than Market
Customer_1464,Innovative & Faster Growing than Market
Customer_1465,Faster Growing than Market
Customer_1466,Market Follower
Customer_1466,Niche Player
Customer_1467,Market Follower
Customer_1468,Faster Growing than Market
Customer_1468,Market Follower
Customer_1469,Faster Growing than Market
Customer_1470,Innovative
Customer_1470,Innovative & Faster Growing than Market
Customer_1471,Faster Growing than Market
Customer_1473,Innovative & Faster Growing than Market
Customer_1474,Faster Growing than Market
Customer_1474,Innovative & Faster Growing than Market
Customer_1475,Innovative
Customer_1476,Innovative & Faster Growing than Market
Customer_1478,Innovative & Faster Growing than Market
Customer_1479,Faster Growing than Market
Customer_1479,Innovative & Faster Growing than Market
Customer_1479,Niche Player
Customer_148,Faster Growing than Market
Customer_148,Market Follower
Customer_1480,Niche Player
Customer_1481,Faster Growing than Market
Customer_1481,Innovative
Customer_1481,Market Follower
Customer_1482,Innovative
Customer_1483,Market Follower
Customer_1484,Faster Growing than Market
Customer_1484,Innovative & Faster Growing than Market
Customer_1485,Niche Player
Customer_1486,Niche Player
Customer_1488,Faster Growing than Market
Customer_1489,Faster Growing than Market
Customer_149,Niche Player
