soldto,c_relationship
Customer_1558,Opportunistic
Customer_1558,Pure Business
Customer_1559,Advanced Business Ties
Customer_1559,Opportunistic
Customer_156,Advanced Business Ties
Customer_1560,Opportunistic
Customer_1562,Advanced Business Ties
Customer_1564,Transactional
Customer_1565,Pure Business
Customer_1566,Advanced Business Ties
Customer_1568,Opportunistic
Customer_157,Opportunistic
Customer_1572,Opportunistic
Customer_1573,Opportunistic
Customer_1573,Pure Business
Customer_1575,Transactional
Customer_1576,Opportunistic
Customer_1577,Transactional
Customer_1579,Opportunistic
Customer_158,Partnership
Customer_1580,Opportunistic
Customer_1581,Pure Business
Customer_1582,Partnership
Customer_1583,Transactional
Customer_1584,Opportunistic
Customer_1584,Partnership
Customer_1585,Transactional
Customer_1586,Opportunistic
Customer_1587,Partnership
Customer_1587,Pure Business
Customer_1588,Advanced Business Ties
Customer_1588,Pure Business
Customer_1589,Advanced Business Ties
Customer_159,Partnership
Customer_1590,Pure Business
Customer_1591,Opportunistic
Customer_1593,Opportunistic
Customer_1594,Partnership
Customer_1594,Transactional
Customer_1595,Advanced Business Ties
Customer_1597,Opportunistic
Customer_1597,Transactional
Customer_1598,Pure Business
Customer_16,Advanced Business Ties
Customer_16,Partnership
Customer_16,Pure Business
Customer_16,Transactional
Customer_160,Opportunistic
Customer_160,Transactional
Customer_1600,Opportunistic
Customer_1601,Opportunistic
Customer_1602,Transactional
Customer_1603,Partnership
Customer_1604,Pure Business
Customer_1605,Opportunistic
Customer_1605,Pure Business
Customer_1605,Transactional
Customer_1606,Advanced Business Ties
Customer_1607,Advanced Business Ties
Customer_1607,Pure Business
Customer_1608,Advanced Business Ties
Customer_1610,Partnership
Customer_1611,Advanced Business Ties
Customer_1611,Transactional
Customer_1614,Advanced Business Ties
Customer_1614,Transactional
Customer_1616,Partnership
Customer_1617,Pure Business
Customer_1618,Pure Business
Customer_162,Transactional
Customer_1620,Advanced Business Ties
Customer_1621,Opportunistic
Customer_1625,Advanced Business Ties
Customer_1626,Partnership
Customer_1627,Pure Business
Customer_1627,Transactional
Customer_163,Advanced Business Ties
Customer_163,Opportunistic
Customer_163,Partnership
Customer_163,Pure Business
Customer_163,Transactional
Customer_1630,Opportunistic
Customer_1630,Transactional
Customer_1631,Advanced Business Ties
Customer_1631,Opportunistic
Customer_1632,Partnership
Customer_1634,Transactional
Customer_1638,Advanced Business Ties
Customer_1639,Pure Business
Customer_1639,Transactional
Customer_164,Opportunistic
Customer_164,Partnership
Customer_164,Transactional
Customer_1641,Transactional
Customer_1643,Advanced Business Ties
